domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Health,Self-administered medications,"Learn about a drug’s intended use, directions, effects, and side effects from easily accessible medical documentations (e.g., drug labels, online articles)",Factual,forteo,Forteo,forteo.pdf,,Manufacturer educational materials (https://pi.lilly.com/us/forteo-medguide.pdf),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-administered medications,"Learn about a drug’s intended use, directions, effects, and side effects from easily accessible medical documentations (e.g., drug labels, online articles)",Factual,truvada,Truvada,truvada.pdf,,US Official HIV.gov (https://clinicalinfo.hiv.gov/en/drugs/emtricitabine-tenofovir-disoproxil-fumarate/patient),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-administered medications,"Learn about a drug’s intended use, directions, effects, and side effects from easily accessible medical documentations (e.g., drug labels, online articles)",Factual,wegovy,Wegovy,wegovy.pdf,,Manufacturer educational materials (https://www.novomedlink.com/content/dam/novonordisk/novomedlink/new/obesity/patient-support/product/documents/wegovy-quick-start-guide-for-patients.pdf),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-administered medications,"Learn about a drug’s intended use, directions, effects, and side effects from easily accessible medical documentations (e.g., drug labels, online articles)",Factual,neulasta,Neulasta,neulasta.pdf,,Manufacturer educational materials (https://www.pi.amgen.com/-/media/Project/Amgen/Repository/pi-amgen-com/Neulasta/neulasta_ppi_pt_english.pdf),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-diagnosis,"Learn about medical condition manifestations and potential at-home or over-the-counter treatment options from easily accessible medical documentations (e.g., online articles).",Factual,carpal-tunnel-syndrome,Carpal tunnel syndrome,carpal-tunnel-syndrome.pdf,,Mayo Clinic (https://www.mayoclinic.org/diseases-conditions/carpal-tunnel-syndrome/symptoms-causes/syc-20355603),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-diagnosis,"Learn about medical condition manifestations and potential at-home or over-the-counter treatment options from easily accessible medical documentations (e.g., online articles).",Factual,peripheral-neuropathy,Peripheral neuropathy,peripheral-neuropathy.pdf,,Mayo Clinic (https://www.mayoclinic.org/diseases-conditions/peripheral-neuropathy/symptoms-causes/syc-20352061),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-diagnosis,"Learn about medical condition manifestations and potential at-home or over-the-counter treatment options from easily accessible medical documentations (e.g., online articles).",Factual,bppv,Benign paroxysmal positional vertigo,bppv.pdf,,Mayo Clinic (https://www.mayoclinic.org/diseases-conditions/vertigo/symptoms-causes/syc-20370055),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-diagnosis,"Learn about medical condition manifestations and potential at-home or over-the-counter treatment options from easily accessible medical documentations (e.g., online articles).",Factual,thoracic-outlet-syndrome,Thoracic outlet syndrome,thoracic-outlet-syndrome.pdf,,Mayo Clinic (https://www.mayoclinic.org/diseases-conditions/thoracic-outlet-syndrome/symptoms-causes/syc-20353988),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Self-diagnosis,"Learn about medical condition manifestations and potential at-home or over-the-counter treatment options from easily accessible medical documentations (e.g., online articles).",Factual,amyloidosis,Amyloidosis,amyloidosis.pdf,,Mayo Clinic (https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178),Co-created with AI,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,sleep-hygiene,Sleep hygiene,sleep-hygiene.pdf,,NHS https://www.uhs.nhs.uk/Media/UHS-website-2019/Patientinformation/Other/Sleep-hygiene-3276-PIL.pdf,AQG,Based on common wellbeing topics covered by APA (https://www.nih.gov/health-information/your-healthiest-self-wellness-toolkits/emotional-wellness-toolkit/emotional-wellness-toolkit-more-resources) and NIH (https://www.nih.gov/health-information/your-healthiest-self-wellness-toolkits/emotional-wellness-toolkit/emotional-wellness-toolkit-more-resources),,,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,nutrition-kidney-disease,Nutrition and kidney disease,nutrition-kidney-disease.pdf,,National Kidney Foundation: https://www.kidney.org/kidney-topics/nutrition-and-kidney-disease-stages-1-5-not-dialysis,AQG,"Based on materials from various disease-based organizations/foundations, professional dietitian organizations, and the US Academy of Nutrition and Dietetics eatright.org",,,
